Brand,Variety,Style,Country,Stars
Four Seas,Hot & Spicy Instant Noodle (Mushroom & Beef Flavour),Pack,Hong Kong,4
Maruchan,I Want To Eat Ramen' Shoyu Flavor,Pack,Japan,4
Master Kong,Mushroom Stew Chicken Ramen,Pack,China,3.5
Paldo,Jjol Bibim Men,Pack,South Korea,4
Nissin,Cup Noodles Easy Fideos Tomato Chicken Flavor Ramen Noodle Soup,Cup,USA,3.5
Ruski,Tom Yam Flavour Instant Noodles,Pack,Thailand,4
Mama,Instant Noodles Moo Nam Tok Flavour,Pack,Thailand,4
Thai Chef,Instant Nudelsuppe Shrimp Flavour,Pack,Germany,3.5
Bamee,Cup Oriental Style Instant Noodles Chicken Flavour,Cup,Thailand,3.25
Mama,Instant Noodle Shrimp Tom Yum Flavour Jumbo Pack,Pack,Thailand,4
Mama,Instant Cup Noodles Shrimp Tom Yum Flavour (Extreme),Cup,Thailand,5
Ruski,Chicken Masala Flavour Instant Fried Noodles,Pack,Thailand,3.75
Mama,Instant Noodles Shrimp Creamy Tom Yum Flavour Jumbo Pack,Pack,Thailand,5
Mama,Instant Cup Noodles Spicy Cheese Flavour,Cup,Thailand,3.5
Bamee,Oriental Style Instant Noodles Beef Flavour,Pack,Germany,3.25
Mama,Instant Cup Noodles Seafood Pad Kee Mao Flavour,Cup,Thailand,5
Ruski,Creamy Tom Yam Instant Noodles,Pack,Thailand,4.5
Mama,Oriental Style Instant Noodles Green Curry Flavour Jumbo Pack,Pack,Thailand,5
Thai Chef,"Shrimp ""Tom Yum"" Instant Nudelsuppe",Pack,Germany,3.5
Nanyang Chef,Penang White curry Noodle With Nanyang Chilli Paste,Pack,Malaysia,4.75
Maruchan,Instant Lunch California Vegetable Ramen Noodles With Vegetables,Cup,USA,3.5
Wei Lih,Steam Instant Noodles Korean Salt & Rib Soup Flavour,Bowl,Taiwan,2.25
Nissin,Cup Noodles Black Pepper Crab Flavour,Cup,Singapore,4
Nissin,Premium Instant Noodles Spicy Beef Flavour,Pack,Singapore,3.75
Nissin,Cup Noodles Tom Yam Veg Flavour,Cup,Singapore,4
Nissin,Premium Instant Noodles Roasted Beef Flavour,Bowl,Singapore,3.75
Nissin,Chu Qian Yi Ding Sesame Oil Flavour,Pack,Singapore,3.75
Nissin,Cup Noodles Chicken Flavour,Cup,Singapore,3.5
Nissin,Premium Instant Noodles XO Sauce Seafood Flavour,Pack,Singapore,3.75
Nissin,Cup Noodles Chilli Crab Flavour,Cup,Singapore,4
Nissin,Japanese Ramen Kyushu Black Instant Noodles With Soup Base,Pack,Singapore,5
Nissin,Premium Instant Noodles Spicy Beef Flavour,Bowl,Singapore,3.75
Nissin,Cup Noodles Tom Yam Seafood Flavour,Cup,Singapore,4
Nissin,Japanese Ramen Tokyo Shoyu Instant Noodles With Soup Base,Pack,Singapore,5
Nissin,Cup Noodles Seafood Curry Flavour,Cup,Singapore,4
Nissin,Premium Instant Noodles Roasted Beef Flavour,Pack,Singapore,4.25
Nissin,Cup Noodles Cream Of Chicken Flavour,Cup,Singapore,4
Myojo,Ippei-Chan Jumbo Night Market Style Yakisoba,Tray,Japan,4.5
MyKuali,Penang Hokkien Prawn Noodle,Pack,Malaysia,5
Maruchan,Instant Lunch Jalapeno Cheddar Flavor Ramen Noodles,Cup,USA,3.5
Nongshim,Harmony Korean Spicy Noodle Dish With Chipotle,Pack,USA,4.25
Maggi,2 Minute Noodles Tom Yam Flavour,Pack,Singapore,3.5
Nissin,Souper Meal Chili Picante Chicken With Lime Flavor Ramen Noodle Soup,Bowl,USA,3.5
Wu-Mu,Dried Noodle With Beef Flavor Sauce,Pack,Taiwan,3
Adabi,Mi Segera Mi Goreng Pedas Instant Noodles,Pack,Malaysia,3.5
Maruchan,Old Style Miso Ramen,Pack,Japan,3.5
Knorr,Quick Serve Macaroni Abalone & Chicken Flavour,Pack,Hong Kong,3
Chencun,Rice Noodle Beef With Brown Sauce,Cup,China,3.5
Maggi,2 Minute Noodles Assam Laksa Flavour,Pack,Singapore,4
Maggi,Hot Cup Perisa Kari,Cup,Malaysia,3.5
Maggi,2 Minute Noodles Curry Flavour,Pack,Singapore,3.75
Maggi,Senses Laksa Instant Noodles,Pack,Singapore,5
Maggi,Extra Spicy Curry Instant Noodles,Pack,Singapore,5
Samyang Foods,Buldak Bokkummyeon,Bowl,South Korea,4
Nissin,Sabor A Gallina Fideos Con Instantanea,Pack,Colombia,3.5
Myojo,Chukazanmai Beijing Style Salt Ramen,Pack,Japan,3
Osaka Ramen,Miso Ramen,Bowl,USA,3.75
Ottogi,Cheese Bokki,Bowl,South Korea,4
Hao Way,Instant Penang White Curry Noodles,Pack,Malaysia,4.5
Sainsbury's,Curry Flavour Instant Noodles,Pack,UK,1.5
Vina Acecook,King Chef Seafood With Kimchi Flavour,Pack,Vietnam,3
Nissin,Pan Asian Kitchen Spicy Szechuan Chicken Flavor Ramen Noodles,Tray,USA,3
Nongshim,Korean Clay Pot Ramyun Noodle,Cup,China,2.75
Maruchan,I Want To Eat Ramen Shio,Pack,Japan,3.75
Vifon,Ngon-Ngon Tom Yum Minced Pork Noodle,Cup,Vietnam,3.5
Ottogi,Ppushu Ppushu Grilled Chicken Flavor,Pack,South Korea,1
Sau Tao,Oat Noodle Abalone Flavored,Pack,Taiwan,1.75
Myojo,Chukazanmai Szechuan Style Miso,Pack,Japan,2
Chewy,Instant Rice Vermicelli Original Flavour,Pack,Hong Kong,0.5
Paldo,Cheese Ramyun (for US market),Pack,South Korea,5
Chering Chang,Curry La-Men,Pack,Taiwan,5
Chewy,Non-Fried Ramen Noodles Taiwan Roast Pork Flavour,Pack,Hong Kong,4
A-Sha Dry Noodle,Prince Katsu Snack Noodles,Pack,Taiwan,4
Adabi,Mi Segera Tom Yam Instant Noodles,Pack,Malaysia,3.25
Baixiang Noodles,Spicy Artificial Beef Flavour Instant Noodles With Soup Base,Pack,China,3.5
Pamana,Chicken Sopas Creamy Macaroni Soup,Cup,Philippines,3.5
Annie Chun's,Ramen House Thai Coconut Ramen,Pack,USA,5
La Fonte,Spaghetti With Mushroom Sauce,Pack,Indonesia,3.75
Maggi,Masala Dumdaar Noodles,Pack,India,3.75
Thai Choice,Instant Noodles Seafood Flavour,Cup,Thailand,4
Tesco,Everyday Value Chicken & Mushroom Flavour,Cup,UK,0.5
Pop Bihun,Spesial Rasa Kari Ayam Pedas,Pack,Indonesia,3.75
Myojo,Yomise No Yakisoba Shiodare Flavor With Black Pepper Mayonnaise,Tray,Japan,3.75
Pulmuone,Nature Is Delicious Non-Fried Ramyun (Spicy Flavor) (New Version),Pack,South Korea,3.75
Vina Acecook,Oh! Ricey Pho Bo Instant Rice Noodles,Bowl,Vietnam,3.75
Nissin,Fried Noodle Specialist Tom Yam Mee Goreng Flavour,Pack,Singapore,3
Wu-Mu,Steam Seafood Flavor Ramen,Pack,Taiwan,4
Oyatsu,Baby Star Snack Noodle Yakisoba Flavor,Pack,Japan,4.75
Snapdragon,Singapore Laksa Curry Soup Bowl,Bowl,USA,4.25
Paldo,Mild Kokomen (Prototype),Pack,South Korea,4.5
Saji,Sajimee Curry Soup Flavour,Pack,Malaysia,4.25
Miracle Noodle,Miso Marvellous Soup,Pack,USA,4
Shan,Shoop Instant Noodles Chicken Flavour,Pack,Pakistan,3.5
Indomie,Mi Goreng Rasa Iga Penyet,Pack,Indonesia,4.75
Tiger Tiger,Traveller's Choice Thai Red Curry Flavour Instant Noodles,Pack,UK,1.75
Paldo,Barbecue Ramyun (Prototype),Pack,South Korea,3.75
Takamori Kosan,Red Pepper 7 Garlic Peperoncino,Pack,Japan,4
Takamori Kosan,Sukiyaki Style Noodle Stew,Pack,Japan,4.5
Takamori Kosan,Yaki-Udon Roast Soy Sauce,Pack,Japan,3.75
Takamori Kosan,Hiyashi Udon Bonito Sauce,Pack,Japan,3
Takamori Kosan,Futomen Yakisoba,Pack,Japan,4.75
Takamori Kosan,Hiyashi Chuka Lemon Sauce,Pack,Japan,4.75
Takamori Kosan,Curry Udon,Pack,Japan,5
Takamori Kosan,Chanpon,Pack,Japan,3.75
Takamori Kosan,Shio Yakisoba,Pack,Japan,4
Takamori Kosan,Yakisoba,Pack,Japan,5
Takamori Kosan,Yaki-Udon Mild Spicy Sauce,Pack,Japan,4.25
Takamori Kosan,Katsuo Dashi Udon,Pack,Japan,3.75
Takamori Kosan,Spaghetti Napolitan,Pack,Japan,4
Tokyo Noodle,Spicy Garlic Ramen,Pack,Japan,3.25
Tesco,Everyday Value Beef & Tomato Flavour Noodles,Cup,UK,2
Samyang Foods,Nagasaki Jjamppong,Cup,South Korea,3.75
Campbell's,Hearty Noodles Thai Flavour,Cup,Canada,0
Papa,Oriental Style Instant 'Kua-Chap',Pack,Thailand,3.25
A-Sha Dry Noodle,Hello Kitty Za Jiang (Soybean Sauce),Pack,Taiwan,3.25
Nissin,Soba Teriyaki Noodles With Japanese Yakisoba Sauce,Cup,Germany,3
Sawadee,Instant Noodles Vegetable & Mushroom Flavour,Pack,UK,1.5
Nongshim,Sir Long Tang Creamy Beef Noodle Soup,Cup,USA,4.25
Four Seas,Seaweed Hot & Spicy Instant Noodle Mushroom & Beef Flavour,Bowl,Hong Kong,3.5
Golden Wheat,Korean Style Stew Pork Flavour Noodle Soup,Bowl,China,1.75
Sau Tao,Instant Noodle King Won Ton Flavor,Pack,Hong Kong,2.75
Mamee,Instant Noodles Curry Flavour,Pack,Malaysia,3.5
Mamee,Chef Creamy Tom Yam Flavour,Pack,Malaysia,5
Mamee,Monster BBQ Flavour Snack Noodles,Pack,Malaysia,3.75
Mamee,Chef Curry Laksa Flavour,Cup,Malaysia,5
Mamee,SLLRRRP! Asam Laksa,Pack,Malaysia,4
Mamee,Mie Goreng Indonesia Spicy Sambal,Cup,Malaysia,5
Mamee,Chef Spicy Chicken Shiitake Flavour,Pack,Malaysia,3.25
Mamee,Instant Vermicelli Chicken Flavour,Pack,Malaysia,3.25
Mamee,Chef Creamy Tom Yam Flavour,Cup,Malaysia,4.75
Mamee,Instant Noodles Vegetarian Flavour,Pack,Malaysia,3.75
Mamee,SLLRRRP! Kari Berapi,Pack,Malaysia,3.75
Mamee,Monster Chicken Flavour Snack Noodles,Pack,Malaysia,4
Mamee,Chef Curry Laksa Flavour,Pack,Malaysia,5
Mamee,Mie Goreng Indonesia Original Flavour,Cup,Malaysia,4.5
Mamee,Instant Vermicelli Tom Yam Flavour,Pack,Malaysia,3.75
Paldo,Bulnak Bokkummyun Spicy Fried Octopus Ramyun,Pack,South Korea,4
Oyatsu,Baby Star Ramen Round Consomme Mini,Pack,Japan,3.75
Lotus Foods,Forbidden Rice Ramen,Pack,USA,2.25
Lotus Foods,Millet & Brown Rice Ramen,Pack,USA,4
Lotus Foods,Jade Pearl Rice Ramen,Pack,USA,3.25
Ah Lai,White Curry Noodle,Pack,Malaysia,4.5
Plats Du Chef,Cuisine Adventures Chicken Pho Soup,Bowl,Canada,5
Indomie,Taste Of Asia Mi Goreng Rasa Bulgogi Ala Korea,Pack,Indonesia,2.75
Kin-Dee,Instant Rice Noodle Pad Thai,Tray,Thailand,3.75
Batchelors,Super Noodles Peppered Steak Flavour,Pack,UK,1.5
Sakura Noodle,Chikara Brand Udon Beef Flavor,Pack,USA,4.25
Shirakiku,Fresh Chow Mein Noodles With Seasoning,Pack,USA,3.75
Sakura Noodle,Chikara Brand Udon Hot & Spicy Flavor,Pack,USA,4
Sakura Noodle,Chikara Brand Udon Mushroom Flavor,Pack,USA,3.75
Sakura Noodle,Chikara Brand Udon Oriental Flavor,Pack,USA,3.75
Sakura Noodle,Chikara Brand Udon Chicken Flavor,Pack,USA,3.75
Indomie,Taste Of Asia Mi Kuah Rasa Tom Yum Ala Thailand,Pack,Indonesia,3.75
Sapporo Ichiban,Otafuku Okonomi Sauce Yakisoba,Tray,Japan,5
Vifon,Oriental Style Instant Noodle Mi Ga Chicken Flavor,Cup,Vietnam,1.25
A-Sha Dry Noodle,Hello Kitty La Wei (Spicy Flavor),Pack,Taiwan,3.75
Unif,Unif-100 Instant Noodles Artificial Tart Beef Flavor,Pack,China,3
Mamee,Mi Segera SLLRRRP! Perencah Kari Xtra Pedas,Pack,Malaysia,3.75
Koka,Spicy Shrimp Tom Yam Flavour,Cup,Singapore,3.25
Ruski,Instant Noodles Stewed Beef Flavour,Pack,Thailand,3.5
Golden Wheat,Korean Style Mushroom Chicken Flavour Cooking Noodle,Pack,China,2
Hi-Myon,Instant Noodle Udon Hot & Spicy,Pack,South Korea,4
Takamori Kosan,Fresh Chow Mein Noodles With Seasoning,Pack,Japan,3.75
Mama,Instant Noodles Cup Seafood Flavour,Cup,Thailand,3.75
Adabi,Mi Segera Kari Ayam Instant Noodles,Pack,Malaysia,4.25
Nissin,Spa Oh Tarako Spaghetti,Bowl,Japan,4
Ve Wong,Little Prince Brand Snack Noodles Original Flavor,Pack,Taiwan,2.5
Ottogi,Japchae Vermicelli Noodle,Pack,South Korea,2.75
Sainsbury's,Chicken Flavour Instant Noodles,Pack,UK,2.75
Paldo,Korean Traditional Beef Gomtangmen,Pack,South Korea,5
Healtimie,Green Barley Noodle Vegetable Soup,Pack,Indonesia,3.25
Maruchan,I Want To Eat Ramen Miso Flavor,Pack,Japan,3.75
Pop Bihun,Spesial Rasa Soto Ayam,Pack,Indonesia,4
Thai Kitchen,Rice Noodle Cart Thai Peanut,Tray,USA,3
Yum Yum,Oriental Style Instant Noodles Seafood Flavour,Cup,Thailand,3.75
Nongshim,Soon Veggie Noodle Soup,Pack,South Korea,5
Nissin,Cup Noodle Cheese Curry,Cup,Japan,3.75
Koka,Oriental Style Instant Noodles Tom Yam Flavour,Pack,Singapore,2.5
A-Sha Dry Noodle,Instant Noodle Original Flavor,Pack,Taiwan,3.75
Nissin,Demae Ramen Shoyu Tonkotsu Artificial Pork Flavour,Pack,Hong Kong,4.75
Western Family,Instant Noodles In A Cup Chicken Flavour,Cup,Canada,1.5
Mama,Instant Noodles Yentafo Tom Yum Mohfai Flavour,Pack,Thailand,5
Knorr,Quick Serve Macaroni Shrimp Broth,Pack,Hong Kong,3.25
Samyang Foods,Red Nagasaki Jjampong,Pack,South Korea,5
Mr. Noodles,Noodles In A Cup Spicy Chicken Simulated Flavour,Cup,Canada,1
Good Tto Leu Foods,Lightning Beef Bone Tteokguk Rice Cake Soup,Bowl,South Korea,4
GaGa,Mie Gepeng Kuah Rasa Ayam Lada Hitam,Pack,Indonesia,3.25
Wu-Mu,Ramen With Pickled Mustard Flavor,Pack,Taiwan,3.5
Wu-Mu,Steam Mushroom Flavor Ramen,Pack,Taiwan,3.25
Thai Choice,Instant Noodles Chicken Flavour,Cup,Thailand,3
Myojo,Prawn Noodles,Pack,Singapore,4.25
Nissin,Cup Noodles Sabor A Carne Sopa Con Fideos,Cup,Colombia,3
A-One,Mì Ly Instant Noodles Mì Tôm Shrimp Flavor,Cup,Vietnam,3.25
Nongshim,Sain Sain Garlic Teriyaki Fresh Cooked Udon Pasta,Tray,South Korea,4.5
JML,Braised Beef Noodles,Pack,China,4
Sau Tao,QQ Scallop Seafood Vermicelli,Bowl,Hong Kong,3.75
Kimura,Kumamoto Tonkotsu Ramen,Pack,Japan,5
Batchelors,Super Noodles Roast Beef & Onion Flavour,Pack,UK,3.25
Lucky Me!,Supreme Chow Mein Seafood Flavor Instant Stir-Fried Noodles,Bowl,Philippines,3.25
Thai Kitchen,Rice Noodle Cart Sweet Citrus Ginger,Tray,USA,4.25
Nongshim,Oolongmen Kimchi Cup Noodle Soup Mix,Cup,South Korea,4
Koka,Purple Wheat Noodles Aglio Olio,Pack,Singapore,2.75
Tokachimen Koubou,Jet Black Sesame Oil Pork Tonkotsu,Bowl,Japan,2.25
Deshome,Sun Dried Noodle Chlorella Powder Noodle With Curry Sauce,Pack,Taiwan,5
Ko-Lee,Instant Noodles Mixed Vegetable,Pack,UK,3.5
Ottogi,Ppushu Ppushu Noodle Snack Bulgogi Flavor,Pack,South Korea,3.25
Vifon,Mì Gà Tìm Chua Cay Hot & Sour Chicken Flavor Instant Noodles,Pack,Vietnam,2
Adabi,Mi Bandung Prawn Mee,Pack,Malaysia,4.25
Wu-Mu,Ramen With Stewed Pork Flavor,Pack,Taiwan,4.5
Wu-Mu,Shiitake Flavor Spinach Ramen,Pack,Taiwan,3.75
Sainsbury's,Basics Instant Noodles Chicken Curry Flavour,Pack,UK,3.25
Samyang Foods,Baked Noodle Spicy Grilled Beef Ramyun,Pack,South Korea,3.5
Prima Taste,Singapore Chilli Crab La Mian,Pack,Singapore,5
Ko-Lee,Instant Noodles Taste Sensations Creamy Shrimp Tom Yum Flavour,Pack,UK,5
Chewy,Rice Vermicelli Scallop With XO Sauce Flavour,Pack,Hong Kong,2.5
Wu-Mu,Dried Noodle With Jah Jan Sauce,Pack,Taiwan,3.25
ABC,Mi Cup Rasa Soto Ayam Chicken Soto Flavour,Cup,Indonesia,3.75
ABC,Selera Pedas Mi Goreng Cup Rasa Gulai Ayam Pedas Hot Gulai Chicken,Cup,Indonesia,4
ABC,Rasa Ayam Bawang Chicken Onion Flavour,Cup,Indonesia,3.75
ABC,Selera Pedas Mi Goreng Cup Rasa Ayam Pedas Limau Hot Chicken Lemon Flavour,Cup,Indonesia,4.25
Nissin,Cup Noodle Curry X Gunpla RX-78-2 Gundam,Cup,Japan,4.25
ABC,Mi Cup Rasa Kari Ayam Chicken Curry Flavour,Cup,Indonesia,3.75
Eat & Go,Rasa Baso Sapi Meat Ball Mi Instan Cup,Cup,Indonesia,3.75
ABC,Mi Goreng Pangsit Fried Noodle With Dumpling,Pack,Indonesia,5
Eat & Go,Chicken Onion Mi Instan Cup,Cup,Indonesia,3.75
President,Mi Goreng Rasa Ayam Chicken Flavoured Fried Noodle,Pack,Indonesia,4.5
ABC,Mi Goreng Spesial Special Fried Noodle,Cup,Indonesia,4
Eat & Go,Curry Chicken Mi Instan Cup,Cup,Indonesia,4.25
Thai Choice,Instant Noodles Shrimp Flavour,Cup,Thailand,3.25
Four Seas,Sesame Oil Chicken Flavour Instant Noodle,Bowl,Hong Kong,2.75
Nissin,Chow Mein Teriyaki Chicken Flavor Chow Mein Noodles,Tray,USA,3.75
Tesco,Instant Noodles Chow Mein Flavour,Pack,UK,2.25
Mama,Instant Noodles Tom Saab Flavour,Pack,Thailand,3.5
Samyang Foods,三養라면 (Samyang Ramyun) (South Korean Version),Bowl,South Korea,3.75
Nissin,Sabor A Pollo Sopa Con Fideos,Cup,Colombia,2.75
Wu-Mu,Beef Flavour Tomato Ramen,Pack,Taiwan,4
Maruchan,I Want To Eat Ramen Pork Tonkotsu Flavor,Pack,Japan,4
Annie Chun's,Ramen House Chicken Vegetable Flavored Ramen,Pack,USA,4
Sau Tao,Instant Noodle King Abalone & Chicken Flavoured,Pack,Hong Kong,3.5
Unif,Unif-100 Pickled Cayenne Flavor Beef Ramen,Pack,China,3.75
Nissin,Demae Rice Vermicelli Chicken Flavour Instant Rice Vermicelli With Soup Base,Pack,Hong Kong,1.75
Thai Pavilion,Garlic Chili Instant Rice Noodles & Sauce,Tray,USA,4
Nissin,Donbei Kansai Soy Sauce Flavor Udon,Pack,Japan,3.75
Maggi,Big Kari Perencah (Big Curry Flavor) 2 Minute Noodles,Pack,Malaysia,4
SuperMi,Rasa Ayam Spesial,Pack,Indonesia,4
Sapporo Ichiban,Sesame Ramen,Pack,Japan,5
Mama,Instant Noodles Creamy Tom Yum Minced Pork Flavour,Pack,Thailand,3.5
Emart,Dare You Habanero Ramyun,Cup,South Korea,3.25
Nissin,Demae Ramen Miso Tonkotsu Artificial Pork Flavor Ramen Noodle,Pack,Hong Kong,3.75
Sainsbury's,Barbecue Beef Flavour Instant Noodles,Pack,UK,2.75
Nissin,Sabor A Pollo Sopa Instantánea Con Fideos,Pack,Colombia,3.25
GaGa,Mie Gepeng Kuah Rasa Ayam Bawang Pedas,Pack,Indonesia,3.25
A-Sha Dry Noodle,Instant Noodle Shallot Flavor,Pack,Taiwan,3.75
Saji,Sajimee Original Soto Soup Flavor,Pack,Malaysia,4
Kumamoto,Tonkotsu Ramen MEGA Dragon,Pack,Japan,2.5
Maruchan,Seimen Japanese Instant Ramen Noodles Shio Aji,Pack,Japan,3.75
Mr. Noodles,Chicken Kimchi Oriental Style Noodles With Soup Base,Bowl,Canada,0.5
Master Kong,Artificial Braised Beef Flavor Instant Noodle,Bowl,China,3.75
Nissin,Pan Asian Kitchen Sweet & Sour Chicken Flavor Ramen Noodles,Tray,USA,3.75
HoMyeonDang,Premium Noodle House Seafood Ramyun,Pack,South Korea,4
Sawadee,Instant Noodles Prawn Oriental Flavour,Pack,Malaysia,2.5
Nissin,Soba Classic Noodles With Japanese Yakisoba Sauce,Cup,Germany,3.75
ABC,Selera Pedas Hot Semur Chicken Flavour,Pack,Indonesia,4.5
Nissin,Ultraman Instant Noodle Pork Flavour,Cup,Japan,3
Tokyo Noodle,Mini Instant Noodle Spicy Flavor,Pack,Japan,3.5
Sau Tao,Ho Fan Beef Soup Flavored,Pack,China,3.75
Doll,Hello Kitty Dim Sum Noodle Japanese Curry Flavour,Cup,Hong Kong,3.5
Batchelors,Super Low Fat Noodles Chilli Chicken Flavour,Pack,UK,1
GaGa,Mi Instan Cup Milk Chicken Soup,Cup,Indonesia,4.75
Eat & Go,Rendang Beef Flavour Fried Instant Noodle,Cup,Indonesia,5
Nan Jie Cun,Hot -Dry Instant Noodles Chilli Flavour,Tray,China,0.5
Ruski,Instant Noodles Tom Yum Flavour,Pack,Thailand,3.5
Nissin,Demae Iccho Instant Noodle With Soup Base Artificial Chicken Flavour,Bowl,Hong Kong,3
A-Sha Dry Noodle,Hell Spicy Mala,Pack,Taiwan,4
Batchelors,Super Noodles Chicken Mushroom Flavour,Pack,UK,3.25
Golden Wheat,Korean Style Stew Prok Flavour Cooking Noodle,Pack,China,3.5
Nissin,UFO Yakisoba With Wasabi Mayonnaise,Bowl,Japan,5
China Best,Frozen Satay Sauce Noodle,Pack,Taiwan,1
Mama,Instant Noodles Pork Flavour With Black Pepper,Pack,Thailand,3.5
Nissin,Cup Noodles Sabor A Gallina,Cup,Colombia,3.5
GaGa,Mie Gepeng Kuah Rasa Soto Cabe Hijau,Pack,Indonesia,3.5
Sugakiya Foods,Udon Miso Stew,Pack,Japan,3.25
A-Sha Dry Noodle,Instant Noodle Curry Flavour,Pack,Taiwan,4.25
Men-Sunaoshi,Tonkotsu Ramen,Pack,Japan,3.75
Mama,Instant Noodles Chicken Green Curry Flavour,Pack,Thailand,3.75
Samyang Foods,Maesaengyitangmyun Baked Noodle,Pack,South Korea,5
Nissin,Cup Noodle Chilli Tomato,Cup,Japan,4.5
Nissin,Bowl Noodles Chicken Flavor,Bowl,USA,3.5
Sawadee,Instant Noodles Spicy Tomato Flavour,Pack,Malaysia,2.5
Paldo,Namja Ramyun (US Version),Bowl,South Korea,4
Nissin,Soba Curry Noodles With Japanese Yakisoba Sauce,Cup,Germany,3.75
Wu-Mu,Ramen With Simmered Pork Flavor,Pack,Taiwan,3.75
GaGa,Seribu 1000 Goreng Spesial,Pack,Indonesia,4
Sanrio,Hello Kitty Hakata Shoyutonkotsu Ramen,Bowl,Japan,3.75
Acecook,Comet Mori Yukino Tan-tan men,Bowl,Japan,5
Chencun,Braised Pork Ribs,Cup,China,3
Nongshim,Shin Ramyun Cup,Cup,South Korea,3.5
Nissin,Sabor A Carne Sopa Instantánea Con Fideos,Pack,Colombia,3.75
Sainsbury's,Basics Instant Noodles Chicken Flavour,Pack,UK,3.25
Sapporo Ichiban,Pokemon Shoyu Ramen,Cup,Japan,3.5
Paldo,Cheese Noodle,Pack,South Korea,5
Ko-Lee,Go Noodles Xtreme Hot & Spicy Flavour,Pack,UK,3.75
Samyang Foods,Star Popeye Ramyun Snack,Pack,South Korea,4
Wei Lih,What’s That? Leisure Meatballs Spicy Chicken Flavor,Pack,Taiwan,3.75
Myojo,Chukazanmai Guangdong Style Ramen,Pack,Japan,4.25
Nongshim,Shin Black Spicy Pot-au-feu Flavor Premium Noodle Soup,Cup,USA,5
ABC,Mi ABC Rasa Ayam Bawang (Onion Chicken),Pack,Indonesia,4
Maruchan,Old Style Shio Ramen,Pack,Japan,3.5
Healtimie,Green Barley Noodle Milk Chicken Soup,Pack,Indonesia,4.25
Itomen,Crab Flavor Instant Ramen,Pack,Japan,4
Pop Bihun,Spesial Goreng Special,Pack,Indonesia,3.5
Koyo,Seaweed Ramen Made With Organic Noodles,Pack,USA,2.75
Tiger Tiger,Traveller's Choice Indian Tikka Masala Flavour,Pack,UK,3
Acecook,Jan Jan Yakisoba,Cup,Japan,3.75
Mr. Noodles,Noodles In A Cup Beef Simulated Flavour,Cup,Canada,1.75
Nissin,Donbei Curry Udon (West Japanese),Bowl,Japan,3.25
Kabuto Noodles,Miso Ramen,Cup,UK,3.75
Unif,Man Han Feast Sichuan Chilli Eel Flavor,Bowl,Taiwan,5
Nissin,Chow Mein With Shrimp Chow Mein Noodles,Tray,USA,3.75
Mr. Noodles,Bowl Chicken Simulated Flavour,Bowl,Canada,2
Chewy,Rice Vermicelli Spicy Beef With Chilli Flavour,Pack,China,3.25
Nissin,Chanpon Ramen,Pack,Japan,4.75
GaGa,100 Green Chilli Soto Flavour,Pack,Indonesia,3.75
Samyang Foods,Chacharoni,Pack,South Korea,3.75
Peyang,Yakisoba,Tray,Japan,5
Nissin,Demae Iccho XO Sauce Seafood Flavour,Bowl,Hong Kong,4
Golden Wonder,The Nation's Noodle Beef & Tomato Flavour,Cup,UK,4.25
Vifon,Oriental Style Instant Vermicelli Sour Crab Flavour Soup,Pack,Vietnam,3.75
Komforte Chockolates,Savory Ramen ,Bar,USA,5
Golden Wheat,Korean Style Shrimp Flavour Cooking Noodle,Pack,China,3.5
Wu-Mu,Spicy Flavor Tomato Ramen,Pack,Taiwan,4
Sapporo Ichiban,Tomato & Basil Shio Ramen,Pack,Japan,4
Asian Thai Foods,Fatafat Vegetable Flavor,Pack,Nepal,3.75
Asian Thai Foods,Krrish Instant Noodles Chicken Flavor,Pack,Nepal,3.5
Asian Thai Foods,Preeti Instant Noodles Chicken Soup Base,Pack,Nepal,3.5
Asian Thai Foods,Miteri Instant Noodles Vegetable Flavor,Pack,Nepal,3.5
Asian Thai Foods,Rumpum Chicken Soup Base,Pack,Nepal,3.5
Asian Thai Foods,2pm Precooked Noodles Chicken Curry Delight,Pack,Nepal,3.5
Asian Thai Foods,Fatafat Chicken Flavor,Pack,Nepal,3.75
Asian Thai Foods,Krrish Instant Noodles Vegetable Curry Flavor,Pack,Nepal,3.5
Asian Thai Foods,Rumpum Vegetable Soup Base,Pack,Nepal,4.25
Asian Thai Foods,Miteri Instant Noodles Chicken Flavor,Pack,Nepal,4
Asian Thai Foods,Joker Ready To Eat Noodles,Pack,Nepal,3.25
Asian Thai Foods,Preeti Instant Noodles Veg Soup Base,Pack,Nepal,5
Asian Thai Foods,Gaurav Chicken Seasoning,Pack,Nepal,3.75
Tablemark,Downtown Ramen Shop Shoyu,Pack,Japan,4.75
Koka,Oriental Style Instant Noodles Crab Flavour,Pack,Singapore,3.75
Nissin,Yakisoba,Pack,Japan,5
Indomie,Instant Noodle Beef & Lime Flavour,Pack,Indonesia,4.25
Hi-Myon,Katsuo Udon,Pack,South Korea,4
Kamfen,E-Men Noodles Abalone Soup Flavor,Pack,Hong Kong,3.75
Tesco,Everyday Value Spicy Curry Flavour Noodles,Cup,UK,1.5
Wei Lih,What’s That? Leisure Meatballs Chicken Flavor,Pack,Taiwan,3.75
Nissin,Big Cup Noodles Habanero Lime Shrimp Flavor Ramen Noodle Soup,Cup,USA,3.5
Oyatsu,Baby Star Ramen Round Chikinmini,Pack,Japan,3.5
